RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
633296,4,454104,2,2017-04-06,2016-01-01,2016-12-31,2016,365,f,104,,,,,,,,,,,104,,,,,,,,104,,,,,,,,,,,,,25634,,,,,,,,,,67.0000,
633325,4,192035,2,2018-02-01,2016-09-01,2017-08-31,2016,364,f,21,,,,,,,,,,,21,,,,,,,,21,,,,,,,,,,,,,5930,,,,,,,,,,77.0000,
633360,4,54075,2,2017-05-02,2016-01-01,2016-12-31,2016,365,f,66,,,,,,,,,,,66,,,,,,,,66,,,,,,,,,,,,,22347,,,,,,,,,,92.0000,
633361,4,54077,2,2017-05-22,2016-01-01,2016-12-31,2016,365,f,87,,,,,,,,,,,87,,,,,,,,87,,,,,,,,,,,,,23786,,,,,,,,,,74.0000,
633465,9,161348,2,2017-11-27,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,4430,,,,,,,,198,,48.0000,
633497,5,362007,2,2017-05-17,2016-01-01,2016-08-25,2016,237,f,36,,,,,,,,,,,36,,,,120,,,,156,,,,,,,,,,,,,2384,,,,20666,,,,,,27.0000,
633498,4,364053,2,2017-05-30,2015-12-01,2016-12-31,2016,396,f,72,,,,,,,,,,,72,,,,,,,,72,,,,,,,,,,,,,13153,,,,,,,,,,46.0000,
633501,1,371310,2,2017-11-21,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1781,,,,,,,,35,,19.0000,
633503,2,371319,2,2017-11-20,2016-07-01,2017-06-30,2016,364,f,20,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,2360,,,,,,,,174,,32.0000,
633555,4,450788,5,2018-09-24,2016-09-01,2017-08-31,2016,364,f,335,33,,,,,,,,16,,384,17,15,,,,,,416,,,10839,,,,,,,,1856,,93145,,3155,,,,,,4776,,66.0000,
633562,4,673053,2,2017-05-25,2016-01-01,2016-12-31,2016,365,f,35,,,,,,,,,,,35,,,,,,,,35,,,,,,,,,,,,,8837,,,,,,,,,,69.0000,
633594,9,161301,2,2017-11-27,2016-07-01,2017-06-30,2016,364,f,22,,,,,,,,,,,22,,,,,,,,22,,,,,,,,,,,,,1352,,,,,,,,88,,16.0000,
633607,4,33029,2,2018-01-17,2016-01-01,2016-12-31,2016,365,f,60,,,,,,,,,,,60,,,,,,,,60,,,,,,,,,,,,,12292,,,,,,,,,,56.0000,
633613,6,52054,2,2017-09-25,2016-05-01,2017-04-30,2016,364,f,45,4,,,,,,,,,,49,,,,,,,,49,,,1151,,,,,,,,,,12042,,,,,,,,,,67.0000,
633629,2,261303,2,2017-11-13,2016-07-01,2017-06-30,2016,364,f,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,1828,,,,,,,,129,,31.0000,
633641,4,360351,2,2017-05-23,2016-01-01,2016-12-31,2016,365,f,60,,,,,,,,,,,60,,,,,,,,60,,,,,,,,,,,,,9771,,,,,,,,600,,44.0000,
